Source,Target,Type,Weight
1,95,Directed,1.0
2,12,Directed,4.0
2,243,Directed,4.0
2,220,Directed,4.0
3,271,Directed,1.0
3,274,Directed,1.0
3,31,Directed,1.0
3,248,Directed,1.0
3,8,Directed,1.0
3,132,Directed,1.0
5,83,Directed,2.0
5,243,Directed,2.0
5,191,Directed,2.0
7,4,Directed,1.0
7,25,Directed,1.0
7,49,Directed,1.0
7,171,Directed,1.0
7,191,Directed,2.0
7,47,Directed,1.0
8,41,Directed,1.0
8,3,Directed,1.0
8,252,Directed,2.0
8,101,Directed,1.0
8,185,Directed,2.0
8,271,Directed,2.0
8,204,Directed,1.0
8,48,Directed,2.0
8,274,Directed,4.0
8,31,Directed,2.0
8,179,Directed,1.0
8,114,Directed,1.0
8,132,Directed,4.0
8,249,Directed,1.0
8,201,Directed,1.0
8,159,Directed,1.0
8,297,Directed,2.0
8,248,Directed,2.0
9,258,Directed,2.0
10,290,Directed,4.0
10,109,Directed,2.0
10,58,Directed,2.0
10,76,Directed,2.0
10,292,Directed,2.0
11,83,Directed,2.0
11,243,Directed,1.0
11,191,Directed,1.0
11,5,Directed,1.0
12,137,Directed,4.0
12,2,Directed,4.0
12,220,Directed,4.0
14,191,Directed,2.0
15,283,Directed,4.0
15,250,Directed,4.0
15,191,Directed,2.0
16,243,Directed,1.0
16,46,Directed,1.0
17,191,Directed,1.0
17,298,Directed,2.0
18,243,Directed,1.0
18,121,Directed,1.0
18,191,Directed,1.0
19,243,Directed,2.0
19,191,Directed,2.0
20,250,Directed,4.0
20,191,Directed,2.0
21,298,Directed,2.0
22,191,Directed,1.0
23,58,Directed,4.0
23,181,Directed,4.0
24,83,Directed,1.0
24,191,Directed,1.0
24,86,Directed,1.0
25,203,Directed,2.0
25,7,Directed,1.0
25,228,Directed,2.0
25,171,Directed,2.0
25,191,Directed,2.0
25,47,Directed,2.0
26,250,Directed,2.0
26,191,Directed,2.0
26,153,Directed,2.0
27,191,Directed,1.0
27,197,Directed,1.0
28,43,Directed,2.0
28,191,Directed,2.0
29,83,Directed,2.0
29,243,Directed,2.0
29,281,Directed,2.0
29,191,Directed,2.0
31,3,Directed,1.0
31,8,Directed,2.0
31,48,Directed,1.0
31,274,Directed,4.0
31,114,Directed,1.0
31,132,Directed,4.0
31,249,Directed,1.0
31,297,Directed,1.0
33,23,Directed,4.0
33,58,Directed,4.0
33,181,Directed,4.0
34,232,Directed,1.0
34,191,Directed,1.0
35,191,Directed,4.0
37,83,Directed,4.0
37,191,Directed,4.0
38,66,Directed,1.0
38,152,Directed,2.0
38,286,Directed,1.0
39,230,Directed,1.0
39,191,Directed,2.0
39,152,Directed,4.0
40,273,Directed,2.0
41,8,Directed,1.0
42,150,Directed,4.0
42,158,Directed,2.0
42,56,Directed,2.0
42,191,Directed,2.0
42,243,Directed,1.0
43,83,Directed,1.0
43,243,Directed,4.0
43,191,Directed,2.0
43,58,Directed,2.0
43,181,Directed,2.0
44,243,Directed,1.0
45,243,Directed,2.0
45,191,Directed,2.0
45,154,Directed,2.0
47,80,Directed,2.0
47,226,Directed,2.0
47,203,Directed,2.0
47,7,Directed,1.0
47,228,Directed,1.0
47,58,Directed,2.0
47,116,Directed,2.0
47,109,Directed,2.0
47,191,Directed,2.0
47,25,Directed,2.0
47,224,Directed,1.0
47,184,Directed,2.0
48,271,Directed,1.0
48,204,Directed,1.0
48,274,Directed,2.0
48,31,Directed,1.0
48,114,Directed,1.0
48,248,Directed,1.0
48,8,Directed,2.0
48,252,Directed,1.0
48,132,Directed,2.0
49,167,Directed,2.0
49,203,Directed,2.0
49,7,Directed,1.0
49,171,Directed,1.0
49,191,Directed,2.0
49,47,Directed,2.0
50,233,Directed,2.0
51,191,Directed,1.0
52,243,Directed,4.0
53,2,Directed,2.0
55,250,Directed,2.0
55,56,Directed,2.0
55,191,Directed,2.0
56,191,Directed,2.0
56,153,Directed,2.0
56,154,Directed,1.0
57,224,Directed,1.0
57,144,Directed,2.0
58,100,Directed,4.0
58,181,Directed,4.0
58,228,Directed,4.0
58,54,Directed,2.0
58,10,Directed,2.0
58,104,Directed,4.0
58,290,Directed,4.0
58,13,Directed,2.0
58,109,Directed,2.0
58,261,Directed,4.0
58,76,Directed,4.0
58,292,Directed,4.0
58,116,Directed,4.0
58,140,Directed,4.0
59,243,Directed,2.0
59,191,Directed,2.0
60,18,Directed,1.0
60,191,Directed,1.0
60,46,Directed,4.0
61,274,Directed,1.0
61,252,Directed,1.0
62,243,Directed,4.0
62,177,Directed,4.0
63,191,Directed,2.0
63,40,Directed,2.0
64,243,Directed,1.0
65,243,Directed,1.0
66,191,Directed,1.0
67,46,Directed,1.0
69,228,Directed,4.0
69,259,Directed,2.0
69,80,Directed,4.0
69,292,Directed,2.0
70,243,Directed,1.0
70,191,Directed,2.0
71,68,Directed,1.0
72,191,Directed,1.0
74,170,Directed,1.0
75,198,Directed,4.0
75,82,Directed,4.0
77,258,Directed,2.0
78,191,Directed,4.0
79,191,Directed,2.0
81,243,Directed,1.0
82,68,Directed,4.0
83,250,Directed,4.0
83,43,Directed,4.0
83,90,Directed,4.0
83,191,Directed,4.0
83,5,Directed,2.0
84,137,Directed,4.0
85,258,Directed,2.0
86,162,Directed,2.0
86,239,Directed,2.0
86,121,Directed,1.0
86,5,Directed,2.0
86,122,Directed,1.0
86,83,Directed,2.0
86,243,Directed,2.0
86,127,Directed,2.0
86,49,Directed,1.0
86,171,Directed,1.0
86,208,Directed,1.0
86,150,Directed,2.0
86,191,Directed,2.0
86,56,Directed,1.0
87,184,Directed,4.0
87,217,Directed,4.0
87,102,Directed,2.0
88,191,Directed,1.0
89,272,Directed,2.0
90,191,Directed,1.0
91,83,Directed,1.0
91,281,Directed,1.0
91,191,Directed,2.0
92,71,Directed,1.0
92,68,Directed,1.0
93,191,Directed,1.0
94,191,Directed,2.0
95,191,Directed,4.0
95,207,Directed,2.0
97,191,Directed,1.0
97,273,Directed,2.0
98,46,Directed,1.0
99,191,Directed,2.0
100,58,Directed,4.0
100,226,Directed,2.0
101,8,Directed,1.0
102,228,Directed,2.0
103,83,Directed,4.0
103,90,Directed,4.0
103,191,Directed,1.0
105,276,Directed,1.0
105,253,Directed,4.0
105,243,Directed,4.0
106,43,Directed,2.0
106,83,Directed,2.0
106,28,Directed,2.0
106,191,Directed,4.0
106,166,Directed,2.0
106,17,Directed,1.0
106,295,Directed,1.0
107,83,Directed,2.0
107,243,Directed,1.0
107,191,Directed,2.0
107,5,Directed,2.0
108,191,Directed,1.0
108,16,Directed,2.0
109,168,Directed,2.0
109,228,Directed,2.0
109,10,Directed,2.0
109,259,Directed,2.0
109,292,Directed,2.0
109,58,Directed,2.0
110,191,Directed,1.0
111,181,Directed,4.0
111,10,Directed,4.0
111,259,Directed,4.0
111,290,Directed,4.0
111,13,Directed,2.0
111,292,Directed,4.0
111,194,Directed,4.0
111,58,Directed,4.0
111,76,Directed,2.0
112,191,Directed,2.0
113,191,Directed,1.0
114,185,Directed,1.0
114,271,Directed,1.0
114,204,Directed,1.0
114,48,Directed,1.0
114,274,Directed,2.0
114,31,Directed,1.0
114,132,Directed,1.0
114,8,Directed,2.0
114,252,Directed,2.0
114,297,Directed,1.0
114,248,Directed,2.0
115,191,Directed,2.0
116,100,Directed,1.0
116,226,Directed,2.0
117,224,Directed,2.0
118,121,Directed,1.0
118,191,Directed,2.0
118,197,Directed,1.0
119,191,Directed,2.0
120,181,Directed,4.0
122,191,Directed,1.0
122,96,Directed,1.0
123,191,Directed,4.0
124,191,Directed,1.0
125,191,Directed,2.0
126,243,Directed,2.0
128,216,Directed,2.0
129,40,Directed,1.0
130,191,Directed,1.0
131,274,Directed,1.0
132,3,Directed,1.0
132,185,Directed,2.0
132,271,Directed,4.0
132,249,Directed,1.0
132,204,Directed,1.0
132,48,Directed,1.0
132,274,Directed,4.0
132,31,Directed,4.0
132,287,Directed,1.0
132,114,Directed,1.0
132,248,Directed,4.0
132,8,Directed,4.0
132,297,Directed,2.0
132,252,Directed,2.0
133,243,Directed,4.0
133,191,Directed,1.0
134,191,Directed,2.0
136,191,Directed,1.0
138,162,Directed,2.0
138,177,Directed,2.0
139,243,Directed,1.0
139,30,Directed,1.0
141,191,Directed,1.0
142,227,Directed,2.0
142,273,Directed,1.0
142,191,Directed,1.0
142,36,Directed,2.0
142,137,Directed,1.0
142,216,Directed,2.0
142,40,Directed,2.0
143,227,Directed,2.0
145,92,Directed,1.0
145,191,Directed,1.0
145,207,Directed,2.0
145,48,Directed,1.0
145,95,Directed,2.0
146,243,Directed,4.0
146,46,Directed,1.0
147,191,Directed,1.0
148,191,Directed,1.0
149,83,Directed,4.0
149,191,Directed,2.0
149,5,Directed,2.0
150,191,Directed,4.0
151,270,Directed,1.0
151,281,Directed,1.0
152,46,Directed,2.0
153,243,Directed,1.0
154,183,Directed,1.0
154,191,Directed,1.0
154,56,Directed,1.0
154,220,Directed,1.0
155,274,Directed,1.0
156,292,Directed,4.0
158,83,Directed,4.0
158,243,Directed,4.0
158,191,Directed,2.0
159,157,Directed,2.0
160,108,Directed,1.0
161,40,Directed,2.0
163,137,Directed,2.0
163,40,Directed,2.0
